 Experiment number: ,,#209
 Experiment date: ,,November-22-2022
 Animal Strain: ,,
 Animal Birthdate: ,,November-22-2022
 Color of Animal: ,,White
 Size of Animal: ,,Regular
Analysis Length:,,"0"""
Analysis Start@:,,"0"""
Dstance Traveled:,,    455.14(meters)

Behavior Profile-Behavior List
From Frame,To Frame,Length(frames),Behavior,Comment,
205278,205548,270,Twitch,Floor(Night),
205548,207263,1715,Sleep,Floor(Night),
207263,207563,300,Twitch,Floor(Night),
207563,207564,1,Awaken,Floor(Night),
207564,207703,139,Remain Low,Floor(Night),
207703,207709,6,Turn,face-front/back,Floor(Night),
207709,207853,144,Remain Low,Floor(Night),
207853,207859,6,Turn,Floor(Night),
207859,207943,84,Remain Low,Floor(Night),
207943,209148,1205,Sleep,Floor(Night),
209148,209406,258,Twitch,Floor(Night),
209406,214042,4636,Sleep,Floor(Night),
214042,214211,169,Twitch,Floor(Night),
214211,220905,6694,Sleep,Floor(Night),
220905,221205,300,Twitch,Floor(Night),
221205,221212,7,Awaken,Floor(Night),
221212,227497,6285,Sleep,Floor(Night),
227497,227543,46,Twitch,Floor(Night),
227543,227647,104,Sleep,Floor(Night),
227647,227724,77,Twitch,Floor(Night),
227724,228265,541,Sleep,Floor(Night),
228265,228308,43,Twitch,Floor(Night),
228308,229115,807,Sleep,Floor(Night),
229115,229216,101,Twitch,Floor(Night),
229216,231893,2677,Sleep,Floor(Night),
231893,231922,29,Twitch,Floor(Night),
231922,233898,1976,Sleep,Floor(Night),
233898,233911,13,Twitch,Floor(Night),
233911,235329,1418,Sleep,Floor(Night),
235329,235423,94,Twitch,Floor(Night),
235423,238342,2919,Sleep,Floor(Night),
238342,238383,41,Twitch,Floor(Night),
238383,240174,1791,Sleep,Floor(Night),
240174,240211,37,Twitch,Floor(Night),
240211,243033,2822,Sleep,Floor(Night),
243033,243100,67,Twitch,Floor(Night),
243100,243209,109,Sleep,Floor(Night),
243209,243223,14,Twitch,Floor(Night),
243223,243326,103,Sleep,Floor(Night),
243326,243473,147,Twitch,Floor(Night),
243473,244377,904,Sleep,Floor(Night),
244377,244413,36,Twitch,Floor(Night),
244413,245121,708,Sleep,Floor(Night),
245121,245198,77,Twitch,Floor(Night),
245198,245241,43,Sleep,Floor(Night),
245241,245344,103,Twitch,Floor(Night),
245344,245409,65,Sleep,Floor(Night),
245409,245469,60,Twitch,Floor(Night),
245469,245613,144,Sleep,Floor(Night),
245613,245626,13,Twitch,Floor(Night),
245626,245721,95,Sleep,Floor(Night),
245721,245737,16,Twitch,Floor(Night),
245737,245781,44,Sleep,Floor(Night),
245781,245836,55,Twitch,Night,
245836,245876,40,Sleep,Floor(Night),
245876,246042,166,Twitch,Floor(Night),
246042,246115,73,Sleep,Floor(Night),
246115,246229,114,Twitch,Floor(Night),
246229,246285,56,Sleep,Floor(Night),
246285,246432,147,Twitch,Floor(Night),
246432,246472,40,Sleep,Floor(Night),
246472,246705,233,Twitch,Floor(Night),
246705,246752,47,Sleep,Floor(Night),
246752,246838,86,Twitch,Floor(Night),
246838,246870,32,Sleep,Floor(Night),
246870,247170,300,Twitch,Floor(Night),
247170,247171,1,Awaken,Floor(Night),
247171,247556,385,Remain Low,Floor(Night),
247556,247562,6,Turn,Floor(Night),
247562,247568,6,Turn,face-front/back,Floor(Night),
247568,247574,6,Turn,Floor(Night),
247574,247592,18,Unknown Behavior,Floor(Night),
247592,247598,6,Remain Partially Reared,Floor(Night),
247598,247619,21,Come Down From Partially Reared,Floor(Night),
247619,247625,6,Remain Low,Floor(Night),
247625,247631,6,Rear up Partially,Floor(Night),
247631,247712,81,Remain Partially Reared,Floor(Night),
247712,247718,6,Come Down From Partially Reared,Floor(Night),
247718,247742,24,Remain Low,Floor(Night),
247742,247748,6,Rear up Partially,Floor(Night),
247748,247754,6,Remain Partially Reared,Floor(Night),
247754,247760,6,Come Down From Partially Reared,Floor(Night),
247760,247766,6,Rear up Partially,Floor(Night),
247766,247772,6,Remain Partially Reared,Floor(Night),
247772,247778,6,Come Down From Partially Reared,Floor(Night),
247778,247802,24,Turn,OnBedding(Night),
247802,247832,30,Remain Low,Floor(Night),
247832,247844,12,Turn,face-front/back,Floor(Night),
247844,247850,6,Turn,Floor(Night),
247850,247856,6,Turn,face-front/back,Floor(Night),
247856,247898,42,Remain Low,Floor(Night),
247898,247904,6,Turn,face-front/back,Floor(Night),
247904,247946,42,Remain Low,Floor(Night),
247946,247952,6,Turn,Floor(Night),
247952,247958,6,Rear up Partially,Floor(Night),
247958,247964,6,Remain Partially Reared,Floor(Night),
247964,247970,6,Come Down From Partially Reared,Floor(Night),
247970,247979,9,Rear up Partially,Floor(Night),
247979,248003,24,Remain Partially Reared,Floor(Night),
248003,248009,6,Come Down From Partially Reared,Floor(Night),
248009,248021,12,Remain Low,Floor(Night),
248021,248027,6,Turn,Floor(Night),
248027,248039,12,Rear up Partially,Floor(Night),
248039,248045,6,Come Down From Partially Reared,Floor(Night),
248045,248057,12,Remain Low,Floor(Night),
248057,248063,6,Turn,Floor(Night),
248063,248072,9,Turn,face-front/back,Floor(Night),
248072,248078,6,Rear up Partially,Floor(Night),
248078,248084,6,Come Down From Partially Reared,Floor(Night),
248084,248090,6,Remain Low,Floor(Night),
248090,248099,9,Turn,face-front/back,Floor(Night),
248099,248117,18,Remain Low,Floor(Night),
248117,248123,6,Turn,OnBedding(Night),
248123,248132,9,Turn,face-front/back,Floor(Night),
248132,248138,6,Remain Low,Floor(Night),
248138,248150,12,Turn,face-front/back,Floor(Night),
248150,248402,252,Remain Low,Floor(Night),
248402,248408,6,Turn,Floor(Night),
248408,248414,6,Remain Low,Floor(Night),
248414,248420,6,Turn,face-front/back,Floor(Night),
248420,248426,6,Remain Low,Floor(Night),
248426,248432,6,Turn,Floor(Night),
248432,248450,18,Remain Low,Floor(Night),
248450,248456,6,Turn,face-front/back,Floor(Night),
248456,248474,18,Remain Low,Floor(Night),
248474,248480,6,Rear up Partially,Floor(Night),
248480,248486,6,Come Down From Partially Reared,Floor(Night),
248486,248510,24,Remain Low,Floor(Night),
248510,248516,6,Rear up Partially,Floor(Night),
248516,248528,12,Remain Partially Reared,Floor(Night),
248528,248534,6,Come Down From Partially Reared,Floor(Night),
248534,248612,78,Remain Low,Floor(Night),
248612,248618,6,Turn,Floor(Night),
248618,248624,6,Remain Low,Floor(Night),
248624,248630,6,Rear up Partially,Floor(Night),
248630,248636,6,Come Down From Partially Reared,Floor(Night),
248636,248654,18,Unknown Behavior,Floor(Night),
248654,248666,12,Come Down From Partially Reared,Floor(Night),
248666,248670,4,Remain Low,Floor(Night),
