 Experiment number: ,,#200
 Experiment date: ,,November-9-2022
 Animal Strain: ,,
 Animal Birthdate: ,,November-9-2022
 Color of Animal: ,,White
 Size of Animal: ,,Regular
Analysis Length:,,"163:59'18"""
Analysis Start@:,,"159:59'19"""
Dstance Traveled:,,    432.18(meters)

Behavior Profile-Behavior List
From Frame,To Frame,Length(frames),Behavior,Comment,
127623,127629,6,Stretch Body,Floor(Night),
127629,127719,90,Remain Low,Floor(Night),
127719,127749,30,Stretch Body,Floor(Night),
127749,127764,15,Remain Low,Floor(Night),
127764,127770,6,Stretch Body,Floor(Night),
127770,127800,30,Remain Low,Floor(Night),
127800,127812,12,Stationary,Floor(Night),
127812,127818,6,Remain Low,Floor(Night),
127818,127848,30,Unknown Behavior,Floor(Night),
127848,127854,6,Remain Low,Floor(Night),
127854,127860,6,Rear up Partially,Floor(Night),
127860,127884,24,Remain Partially Reared,Floor(Night),
127884,127893,9,Stretch Body,Floor(Night),
127893,127899,6,Remain Partially Reared,Floor(Night),
127899,127905,6,Come Down From Partially Reared,Floor(Night),
127905,127962,57,Remain Low,Floor(Night),
127962,127968,6,Rear up Partially,Floor(Night),
127968,127980,12,Remain Partially Reared,Floor(Night),
127980,127986,6,Come Down From Partially Reared,Floor(Night),
127986,127992,6,Remain Low,Floor(Night),
127992,128028,36,Stretch Body,Floor(Night),
128028,128034,6,Remain Low,Floor(Night),
128034,128061,27,Stretch Body,Floor(Night),
128061,128109,48,Remain Low,Floor(Night),
128109,128115,6,Turn,Floor(Night),
128115,128121,6,Turn,face-front/back,Floor(Night),
128121,128139,18,Remain Low,Floor(Night),
128139,128145,6,Turn,Floor(Night),
128145,128163,18,Unknown Behavior,Floor(Night),
128163,128178,15,Remain Low,Floor(Night),
128178,128214,36,Stretch Body,Floor(Night),
128214,128220,6,Stationary,Floor(Night),
128220,128229,9,Stretch Body,Floor(Night),
128229,128238,9,Remain Low,Floor(Night),
128238,128394,156,Stretch Body,Floor(Night),
128394,128412,18,Remain Low,Floor(Night),
128412,128450,38,Stretch Body,Floor(Night),
128450,128454,4,Remain Low,Floor(Night),
128454,128562,108,Pause,Floor(Night),
128562,128573,11,Remain Low,Floor(Night),
128573,128591,18,Unknown Behavior,,
128591,128604,13,Remain Low,,
128604,128613,9,Stretch Body,Floor(Night),
128613,128622,9,Remain Low,Floor(Night),
128622,128631,9,Stretch Body,Floor(Night),
128631,128640,9,Turn,RightWall(Night),
128640,128646,6,Turn,face-front/back,RightWall(Night),
128646,128694,48,Remain Low,RightWall(Night),
128694,128700,6,Turn,RightWall(Night),
128700,128736,36,Remain Low,RightWall(Night),
128736,128943,207,Stretch Body,RightWall(Night),
128943,128952,9,Remain Low,RightWall(Night),
128952,128961,9,Turn,face-front/back,RightWall(Night),
128961,129002,41,Remain Low,Floor(Night),
129002,129262,260,Pause,(Night),
129262,129273,11,Remain Low,,
129273,129279,6,Turn,face-front/back,Floor(Night),
129279,129333,54,Remain Low,RightWall(Night),
129333,129339,6,Turn,RightWall(Night),
129339,129345,6,Remain Low,RightWall(Night),
