 Experiment number: ,,#210
 Experiment date: ,,November-22-2022
 Animal Strain: ,,
 Animal Birthdate: ,,November-22-2022
 Color of Animal: ,,White
 Size of Animal: ,,Regular
Analysis Length:,,"0"""
Analysis Start@:,,"0"""
Dstance Traveled:,,    549.25(meters)

Behavior Profile-Behavior List
From Frame,To Frame,Length(frames),Behavior,Comment,
236895,236901,6,Sniff,Ceiling(Night),
236901,236907,6,Walk Left,Ceiling(Night),
236907,236943,36,Sniff,Ceiling(Night),
236943,236949,6,Remain RearUp,Ceiling(Night),
236949,236998,49,Unknown Behavior,,
236998,237004,6,Walk Right,Ceiling(Night),
237004,237040,36,Sniff,Ceiling(Night),
237040,237046,6,Walk Right,Ceiling(Night),
237046,237328,282,Sniff,Ceiling(Night),
237328,237402,74,Unknown Behavior,RightWall(Night),
237402,237438,36,Remain RearUp,LeftWall(Night),
237438,237479,41,Unknown Behavior,,
237479,237497,18,Sniff,RightWall(Night),
237497,237503,6,Stretch Body,Ceiling(Night),
237503,237539,36,Sniff,Ceiling(Night),
237539,237555,16,Unknown Behavior,Ceiling(Night),
237555,237603,48,Sniff,RightWall(Night),
237603,237625,22,Unknown Behavior,,
237625,237673,48,Sniff,Ceiling(Night),
237673,238243,570,Unknown Behavior,Ceiling(Night),
238243,238291,48,Sniff,RightWall(Night),
238291,238325,34,Unknown Behavior,Ceiling(Night),
238325,238379,54,Sniff,RightWall(Night),
238379,239180,801,Unknown Behavior,,
239180,239492,312,Remain RearUp,OnBedding(Night),
239492,239498,6,Walk Right,RightWall(Night),
239498,239504,6,Remain RearUp,Ceiling(Night),
239504,240847,1343,Unknown Behavior,,
240847,240949,102,Sniff,RightWall(Night),
240949,241653,704,Unknown Behavior,RightWall(Night),
241653,242457,804,Remain RearUp,Ceiling(Night),
242457,242469,12,Unknown Behavior,,
242469,242499,30,Sniff,LeftWall(Night),
242499,242601,102,Remain RearUp,LeftWall(Night),
242601,242670,69,No Data,,
242670,242733,63,No Data,,
242733,259767,17034,No Data,,
259767,259773,6,Land Vertically,Ceiling(Night),
259773,259785,12,Remain RearUp,Ceiling(Night),
259785,259791,6,Unknown Behavior,Night,
259791,259863,72,Remain RearUp,LeftWall(Night),
259863,259932,69,No Data,,
259932,259995,63,No Data,,
259995,260251,256,No Data,,
260251,260293,42,Remain RearUp,Ceiling(Night),
260293,260295,2,Walk Right,Ceiling(Night),
260295,260303,8,Jump,Ceiling(Night),
260303,260315,12,Unknown Behavior,,
260315,260321,6,Walk Right,Ceiling(Night),
260321,260379,58,Sniff,Ceiling(Night),
260379,260390,11,Jump,Ceiling(Night),
260390,260433,43,Sniff,RightWall(Night),
260433,260436,3,Walk Left,Night,
260436,260442,6,Jump,Ceiling(Night),
260442,260453,11,Unknown Behavior,,
260453,260459,6,Remain RearUp,Ceiling(Night),
260459,260508,49,Repetitive Jumping,Ceiling(Night),
260508,260521,13,Sniff,Ceiling(Night),
260521,260541,20,Repetitive Jumping,Ceiling(Night),
260541,260594,53,Sniff,Ceiling(Night),
260594,260604,10,Jump,Ceiling(Night),
260604,260610,6,Sniff,Ceiling(Night),
260610,260623,13,Jump,Ceiling(Night),
260623,260672,49,Sniff,Ceiling(Night),
260672,260688,16,Jump,Ceiling(Night),
260688,262147,1459,Sniff,Ceiling(Night),
262147,264241,2094,Remain RearUp,Ceiling(Night),
264241,264247,6,Walk Right,Ceiling(Night),
264247,264265,18,Remain RearUp,Ceiling(Night),
264265,264271,6,Walk Left,Ceiling(Night),
264271,264277,6,Walk Right,Ceiling(Night),
264277,264289,12,Walk Left,Ceiling(Night),
264289,264311,22,Repetitive Jumping,Ceiling(Night),
264311,264377,66,No Data,,
264377,264441,64,No Data,,
264441,268497,4056,No Data,,
268497,268563,66,No Data,,
268563,268710,147,Remain Low,LeftWall(Night),
268710,268722,12,Stationary,LeftWall(Night),
268722,268728,6,Remain Low,LeftWall(Night),
268728,268734,6,Rear Up,LeftWall(Night),
268734,268746,12,"(null)(CDtoPR, CDfromPR)",LeftWall(Night),
268746,268788,42,Remain Low,LeftWall(Night),
268788,268794,6,Turn,LeftWall(Night),
268794,268800,6,Turn,LeftWall(Night),
268800,268806,6,Turn,face-front/back,LeftWall(Night),
268806,269016,210,Remain Low,LeftWall(Night),
269016,269022,6,Turn,LeftWall(Night),
269022,269186,164,Remain Low,LeftWall(Night),
269186,269280,94,Pause,LeftWall(Night),
269280,269790,510,Remain Low,LeftWall(Night),
269790,269796,6,Walk Right,Floor(Night),
269796,269802,6,Remain Low,Floor(Night),
269802,269808,6,Walk Slowly,Floor(Night),
269808,269820,12,Walk Right,Floor(Night),
269820,269826,6,Remain Low,Floor(Night),
269826,269836,10,Walk Slowly,Floor(Night),
269836,269853,17,Walk Right,Floor(Night),
269853,269865,12,Walk Slowly,RightWall(Night),
269865,269919,54,Remain Low,RightWall(Night),
