 Experiment number: ,,#202
 Experiment date: ,,November-12-2022
 Animal Strain: ,,
 Animal Birthdate: ,,November-12-2022
 Color of Animal: ,,White
 Size of Animal: ,,Regular
Analysis Length:,,"171:59'16"""
Analysis Start@:,,"167:59'17"""
Dstance Traveled:,,    413.85(meters)

Behavior Profile-Behavior List
From Frame,To Frame,Length(frames),Behavior,Comment,
125627,125633,6,Remain Low,LeftWall(Night),
125633,125639,6,Turn,face-front/back,LeftWall(Night),
125639,125645,6,Turn,LeftWall(Night),
125645,125663,18,Remain Low,LeftWall(Night),
125663,125669,6,Turn,LeftWall(Night),
125669,125675,6,Turn,LeftWall(Night),
125675,125687,12,Remain Low,LeftWall(Night),
125687,125693,6,Turn,face-front/back,LeftWall(Night),
125693,129935,4242,Sleep,LeftWall(Night),
129935,129976,41,Twitch,LeftWall(Night),
129976,130388,412,Sleep,LeftWall(Night),
130388,130405,17,Twitch,LeftWall(Night),
130405,130769,364,Sleep,LeftWall(Night),
130769,130823,54,Twitch,LeftWall(Night),
130823,130893,70,Sleep,LeftWall(Night),
130893,131193,300,Twitch,LeftWall(Night),
131193,131194,1,Awaken,LeftWall(Night),
131194,131201,7,Turn,face-front/back,LeftWall(Night),
131201,131237,36,Remain Low,LeftWall(Night),
131237,131243,6,Turn,face-front/back,LeftWall(Night),
131243,131303,60,Remain Low,LeftWall(Night),
131303,131309,6,Turn,LeftWall(Night),
131309,131723,414,Pause,LeftWall(Night),
131723,131729,6,Turn,face-front/back,LeftWall(Night),
131729,131735,6,Turn,LeftWall(Night),
131735,131741,6,Remain Low,LeftWall(Night),
131741,131747,6,Turn,face-front/back,LeftWall(Night),
131747,131777,30,Remain Low,LeftWall(Night),
131777,131897,120,Pause,(Night),
131897,131903,6,Turn,face-front/back,LeftWall(Night),
131903,131993,90,Remain Low,LeftWall(Night),
131993,131999,6,Turn,LeftWall(Night),
131999,132002,3,Remain Low,LeftWall(Night),
132002,132287,285,Pause,(Night),
132287,132293,6,Turn,face-front/back,LeftWall(Night),
132293,132299,6,Remain Low,LeftWall(Night),
132299,132305,6,Turn,LeftWall(Night),
132305,132350,45,Remain Low,LeftWall(Night),
132350,132362,12,Turn,face-front/back,LeftWall(Night),
132362,132368,6,Remain Low,LeftWall(Night),
132368,151799,19431,Sleep,LeftWall(Night),
151799,151815,16,Twitch,LeftWall(Night),
151815,153841,2026,Sleep,LeftWall(Night),
153841,153853,12,Twitch,Night,
153853,153886,33,Sleep,LeftWall(Night),
153886,153897,11,Twitch,Night,
153897,154385,488,Sleep,LeftWall(Night),
154385,154440,55,Twitch,LeftWall(Night),
154440,154475,35,Sleep,LeftWall(Night),
154475,154621,146,Twitch,LeftWall(Night),
154621,160340,5719,Sleep,LeftWall(Night),
160340,160411,71,Twitch,LeftWall(Night),
160411,161810,1399,Sleep,LeftWall(Night),
161810,161867,57,Twitch,LeftWall(Night),
161867,164919,3052,Sleep,LeftWall(Night),
164919,164936,17,Twitch,LeftWall(Night),
164936,165422,486,Sleep,LeftWall(Night),
165422,165493,71,Twitch,LeftWall(Night),
165493,167116,1623,Sleep,LeftWall(Night),
167116,167188,72,Twitch,LeftWall(Night),
167188,169506,2318,Sleep,LeftWall(Night),
169506,169774,268,Twitch,LeftWall(Night),
169774,169807,33,Sleep,LeftWall(Night),
169807,169819,12,Twitch,LeftWall(Night),
169819,169870,51,Sleep,LeftWall(Night),
169870,169881,11,Twitch,Night,
169881,169922,41,Sleep,LeftWall(Night),
169922,170222,300,Twitch,LeftWall(Night),
170222,170223,1,Awaken,LeftWall(Night),
170223,170314,91,Remain Low,LeftWall(Night),
170314,170326,12,Turn,face-front/back,LeftWall(Night),
170326,170332,6,Turn,LeftWall(Night),
170332,170452,120,Remain Low,LeftWall(Night),
170452,170458,6,Turn,face-front/back,LeftWall(Night),
170458,170464,6,Turn,LeftWall(Night),
170464,170536,72,Remain Low,LeftWall(Night),
170536,170545,9,Turn,face-front/back,LeftWall(Night),
170545,170569,24,Remain Low,LeftWall(Night),
170569,170575,6,Turn,LeftWall(Night),
170575,170605,30,Remain Low,LeftWall(Night),
170605,170611,6,Turn,face-front/back,LeftWall(Night),
170611,170623,12,Remain Low,LeftWall(Night),
170623,170629,6,Turn,LeftWall(Night),
170629,170635,6,Remain Low,LeftWall(Night),
170635,170641,6,Turn,LeftWall(Night),
170641,170647,6,Turn,face-front/back,LeftWall(Night),
170647,170683,36,Remain Low,LeftWall(Night),
170683,170689,6,Turn,LeftWall(Night),
170689,170707,18,Remain Low,LeftWall(Night),
170707,170713,6,Turn,face-front/back,LeftWall(Night),
170713,170743,30,Remain Low,LeftWall(Night),
170743,170749,6,Turn,LeftWall(Night),
170749,170761,12,Remain Low,LeftWall(Night),
170761,170770,9,Turn,face-front/back,LeftWall(Night),
170770,170824,54,Remain Low,LeftWall(Night),
170824,170826,2,Turn,face-front/back,LeftWall(Night),
171094,171531,437,Groom,PLR<-HdW,LeftWall(Night),
171531,171544,13,Remain Low,LeftWall(Night),
171544,171550,6,Turn,LeftWall(Night),
171550,171556,6,Turn,LeftWall(Night),
171556,171634,78,Remain Low,LeftWall(Night),
171634,171640,6,Turn,LeftWall(Night),
171640,171646,6,Turn,LeftWall(Night),
171646,171762,116,Remain Low,face-front/back,LeftWall(Night),
171762,171909,147,Pause,LeftWall(Night),
171909,171922,13,Remain Low,LeftWall(Night),
171922,172182,260,Pause,LeftWall(Night),
172182,174584,2402,Sleep,LeftWall(Night),
174584,174613,29,Twitch,LeftWall(Night),
174613,176961,2348,Sleep,LeftWall(Night),
176961,176980,19,Twitch,LeftWall(Night),
176980,177052,72,Sleep,LeftWall(Night),
